,order_id,order_price_total
373,300686,769.0
374,300692,16.99
375,300693,59.99
376,300699,47.98
377,300701,109.99
378,300704,512.99
379,300705,29.99
380,300711,335.98
381,300713,54.989999999999995
382,300718,19.99
383,300720,53.980000000000004
384,300725,84.99
385,300726,49.97
386,300728,87.6
387,300731,172.0
388,300733,59.99
389,300736,79.95
390,300737,664.98
391,300738,49.99
392,300739,139.99
393,300744,39.0
394,300746,144.99
395,300757,119.99
396,300760,69.98
397,300761,89.0
398,300764,18.99
399,300773,54.99
400,300775,62.99
401,300778,1234.97
402,300779,118.99
403,300786,44.99
404,300789,149.99
406,300791,39.98
407,300793,156.27
408,300796,284.99
409,300800,119.99
410,300806,139.99
411,300808,64.99
412,300809,149.99
413,300812,19.99
414,300814,62.99
415,300819,59.97
416,300826,49.97
417,300830,149.99
418,300831,175.98
419,300834,79.99
420,300835,479.99
421,300839,103.99
422,300846,170.98
423,300848,114.0
424,300851,24.99
425,300854,29.9
426,300860,77.98
427,300861,49.99
428,300862,132.99
429,300867,39.99
430,300872,129.99
431,300873,29.99
432,300875,69.0
433,300876,301.96999999999997
434,300877,94.99
435,300880,79.98
436,300881,179.96999999999997
437,300882,729.99
438,300883,159.99
439,300889,69.0
440,300896,59.98
441,300898,59.9
442,300903,169.99
443,300904,101.99
444,300905,29.99
445,300906,26.97
446,300916,64.99
447,300918,149.99
448,300922,24.99
449,300924,59.99
450,300929,69.0
451,300930,56.99
452,300933,89.99
453,300938,112.99
454,300941,152.99
455,300945,47.99
456,300947,99.99
457,300948,94.99
458,300949,99.99
459,300950,782.99
460,300954,351.99
461,300960,19.99
462,300962,49.99
463,300966,109.99
464,300971,69.0
465,300977,16.99
466,300979,81.98
467,300980,199.99
468,300982,259.98
469,300986,169.99
470,300989,169.98000000000002
471,300998,29.99
472,300999,29.99
473,301012,112.99
474,301013,118.99
475,301015,149.99
476,301030,24.99
477,301058,72.99
478,301059,125.98
479,301067,14.99
480,301069,129.99
481,301074,106.0
482,301075,29.99
483,301079,92.97999999999999
484,301080,102.97999999999999
485,301085,44.99
486,301091,10.99
487,301092,39.99
488,301094,84.99
489,301095,94.99
490,301097,516.99
491,301098,9.99
492,301103,69.0
493,301105,188.99
494,301106,74.98
495,301108,499.0
496,301111,84.99
497,301112,17.99
498,301118,94.99
499,301121,19.99
500,301129,328.99
501,301140,109.97
502,301145,19.99
503,301148,79.99
504,301152,199.99
505,301155,19.99
506,301158,332.99
507,301162,215.99
508,301166,94.99
509,301169,79.99
510,301173,58.99
511,301179,19.99
512,301181,64.99
513,301184,81.98
514,301193,16.52
515,301196,46.99
516,301198,385.97
517,301204,1029.99
518,301207,29.99
519,301208,49.99
520,301209,69.0
521,301214,144.99
522,301223,188.99
523,301226,64.99
524,301227,56.45
525,301230,46.980000000000004
526,301234,544.98
527,301236,47.99
528,301239,17.99
529,301243,47.98
530,301244,39.99
531,301247,62.980000000000004
532,301252,36.99
533,301253,31.99
534,301256,64.99
535,301261,34.99
536,301270,159.99
537,301276,174.97
538,301277,12.99
539,301280,66.99
540,301292,149.99
541,301297,339.99
542,301300,316.98
543,301306,49.99
544,301308,113.32
545,301309,44.99
547,301318,159.99
548,301320,148.99
549,301321,39.98
550,301322,58.99
551,301325,148.89
552,301327,14.99
553,301334,29.99
554,301335,49.99
555,301339,119.99
556,301344,237.97000000000003
557,301345,39.0
558,301352,112.99
559,301359,729.99
560,301360,112.99
561,301365,203.99
562,301367,39.99
563,301371,44.99
564,301374,59.99
565,301375,123.99
566,301376,94.99
567,301379,53.99
568,301380,132.99
569,301383,27.979999999999997
570,301387,154.98
571,301390,292.77
572,301393,89.99
573,301396,482.0
